id,publisher,repo,plugin,skill,domain,md_files,scripts_code,assets,data_config,packaging,license,other,files_total,skill_md_lines,skill_md_quality,extra_md_roles,non_md_summary,path
S0297,Anthropic,anthropics/knowledge-work-plugins,marketing,competitive-brief,marketing-content,1,0,0,0,0,0,0,1,332,substantive,none,none,marketing/skills/competitive-brief
S0310,Anthropic,anthropics/knowledge-work-plugins,operations,status-report,operations-admin,1,0,0,0,0,0,0,1,78,moderate,none,none,operations/skills/status-report
S0320,Anthropic,anthropics/knowledge-work-plugins,partner-built/common-room,compose-outreach,sales-crm,2,0,0,0,0,0,0,2,136,substantive,"references/ outreach format rules and examples for email, call script, LinkedIn",none,partner-built/common-room/skills/compose-outreach
S0327,Anthropic,anthropics/knowledge-work-plugins,product-management,competitive-brief,product-management,1,0,0,0,0,0,0,1,303,substantive,none,none,product-management/skills/competitive-brief
S0349,Anthropic,anthropics/knowledge-work-plugins,sales,customer-health,sales-crm,1,0,0,0,0,0,0,1,109,substantive,none,none,sales/skills/customer-health
S0360,Anthropic,anthropics/knowledge-work-plugins,sales,handle-objection,sales-crm,1,0,0,0,0,0,0,1,94,substantive,none,none,sales/skills/handle-objection
S0364,Anthropic,anthropics/knowledge-work-plugins,sales,pipeline-review,sales-crm,1,0,0,0,0,0,0,1,98,substantive,none,none,sales/skills/pipeline-review
S0370,Anthropic,anthropics/knowledge-work-plugins,sales,stakeholder-map,sales-crm,1,0,0,0,0,0,0,1,108,substantive,none,none,sales/skills/stakeholder-map
S0376,Anthropic,anthropics/knowledge-work-plugins,small-business,ap-processor,finance-accounting,6,0,0,0,0,0,0,6,159,substantive,"reference/ intake/extraction, coding rules, PO matching, payment run, gotchas",none,small-business/skills/ap-processor
S0395,Anthropic,anthropics/knowledge-work-plugins,small-business,job-post-builder,hr-people,9,0,0,0,0,0,0,9,205,substantive,"reference/ role intake, post/interview/offer templates, DocuSign routing, gotchas, worked example",none,small-business/skills/job-post-builder
S0405,Anthropic,anthropics/knowledge-work-plugins,small-business,proposal-builder,sales-crm,6,0,0,0,0,0,0,6,169,substantive,"reference/ discovery extraction, pricing method, proposal structure, output template, gotchas",none,small-business/skills/proposal-builder
S0428,Anthropic,anthropics/skills,skills,docx,docs-office-files,1,15,0,44,0,1,0,61,92,substantive,none,"Python scripts for comments, merging runs, accepting changes, validation, soffice; OOXML XSD schemas; comment XML templates; license",skills/docx
S0017,Community,K-Dense-AI/claude-scientific-skills,skills,citation-management,science-research,12,8,0,1,0,0,0,21,347,substantive,"references/ on search strategies, metadata extraction, BibTeX formatting, validation; citation checklist","Python scripts for OpenAlex/PubMed/Scholar search, DOI-to-BibTeX, validation; BibTeX template file",skills/citation-management
S0042,Community,K-Dense-AI/claude-scientific-skills,skills,generate-image,design-creative-media,2,1,0,0,0,0,0,3,322,substantive,references/models.md on OpenRouter image model choices,Python script calling OpenRouter Image API to generate/edit images,skills/generate-image
S1067,Community,alirezarezvani/claude-skills,c-level-advisor,culture-architect,hr-people,3,0,0,0,0,0,0,3,168,substantive,references/culture-playbook; templates/culture-code template,none,c-level-advisor/skills/culture-architect
S1137,Community,alirezarezvani/claude-skills,marketing-skill,popup-cro,marketing-content,2,0,0,0,0,0,0,2,230,substantive,references/popup-cro-playbook with detailed popup tactics,none,marketing-skill/skills/popup-cro
S1171,Community,alirezarezvani/claude-skills,product-team,product-strategist,product-management,4,1,0,1,0,0,0,6,228,substantive,references/ on OKR framework and strategy types; OKR template in assets/,Python OKR cascade generator script; sample growth OKRs JSON example,product-team/skills/product-strategist
S1208,Community,alirezarezvani/claude-skills,ra-qm-team,quality-documentation-manager,legal-compliance,3,2,0,0,0,0,0,5,442,substantive,references/ on document control procedures and 21 CFR Part 11 compliance,Python document metadata validator and document version control scripts,ra-qm-team/skills/quality-documentation-manager
S0476,Community,coreyhaines31/marketingskills,skills,pricing,product-management,5,0,0,1,0,0,0,6,296,substantive,"references/ on pricing models, tier structure, research methods, pricing page teardown",evals.json with test prompts and expected outputs,skills/pricing
S0480,Community,coreyhaines31/marketingskills,skills,public-relations,marketing-content,7,0,0,1,0,0,0,8,143,substantive,"references/ on journalist pitching, media outlets, newsjacking, podcast prep, press platforms, story angles",evals/evals.json test prompts with expected outputs,skills/public-relations
S1524,Community,phuryn/pm-skills,pm-execution,job-stories,product-management,1,0,0,0,0,0,0,1,75,moderate,none,none,pm-execution/skills/job-stories
S1567,Community,phuryn/pm-skills,pm-product-discovery,summarize-interview,product-management,1,0,0,0,0,0,0,1,54,moderate,none,none,pm-product-discovery/skills/summarize-interview
S0587,OpenAI,openai/plugins,adobe,adobe-create-mockups,design-creative-media,1,0,0,0,3,0,0,4,438,substantive,none,agents/openai.yaml UI metadata; two SVG icons,plugins/adobe/skills/adobe-create-mockups
S0597,OpenAI,openai/plugins,boltz-api-cli,boltz-protein-design,science-research,4,6,0,1,1,0,0,12,107,substantive,"references/ on Boltz API payloads, results layout/metrics, target-exploration procedure","Python target-exploration helpers (crop, disorder, site scan, results analysis); requirements.txt; openai.yaml metadata",plugins/boltz-api-cli/skills/boltz-protein-design
S0600,OpenAI,openai/plugins,boltz-api-cli,boltz-small-molecule-design,science-research,3,0,0,0,1,0,0,4,79,moderate,references/ on Boltz API payload shapes and results layout/metrics,"agents/openai.yaml Codex interface metadata (display name, default prompt)",plugins/boltz-api-cli/skills/boltz-small-molecule-design
S0620,OpenAI,openai/plugins,build-web-data-visualization,visualization-strategy-and-critique,data-analytics-bi,5,0,0,0,1,0,0,6,207,substantive,"references/ on chart selection, critique lenses, decision framing, Tufte/Munzner/Cairo synthesis",agents/openai.yaml UI metadata,plugins/build-web-data-visualization/skills/visualization-strategy-and-critique
S0623,OpenAI,openai/plugins,canva,canva-bulk-create,design-creative-media,1,0,0,0,0,0,0,1,125,moderate,none,none,plugins/canva/skills/canva-bulk-create
S0630,OpenAI,openai/plugins,creative-production,produce,design-creative-media,16,28,32,1,1,0,0,78,50,moderate,"helpers README; references/ per creative mode (ads, logos, scenes...), contracts, board runtime, renderer","Python prompt-pack/explorer builders; JS/HTML/CSS moodboard, logo, style review apps with SVG/WebP/JPG starter images; JSON pack; yaml",plugins/creative-production/skills/produce
S0639,OpenAI,openai/plugins,data-analytics,gather-business-context,data-analytics-bi,1,0,0,0,1,0,0,2,68,moderate,none,agents/openai.yaml UI metadata,plugins/data-analytics/skills/gather-business-context
S0642,OpenAI,openai/plugins,data-analytics,kpi-reporting,data-analytics-bi,2,0,0,0,1,0,0,3,143,substantive,"references/report-templates.md: KPI readout output templates (inline update, WBR, scorecard)",agents/openai.yaml UI metadata,plugins/data-analytics/skills/kpi-reporting
S0644,OpenAI,openai/plugins,data-analytics,metric-diagnostics,data-analytics-bi,1,0,0,0,1,0,0,2,134,substantive,none,agents/openai.yaml UI metadata,plugins/data-analytics/skills/metric-diagnostics
S0658,OpenAI,openai/plugins,google-drive,google-sheets,docs-office-files,10,0,0,0,3,0,0,13,125,moderate,"references/ on edit workflow, formulas, charts, batch updates, import, read safety, visual quality, styles",Google Sheets SVG/PNG icons; agents/openai.yaml UI metadata,plugins/google-drive/skills/google-sheets
S0661,OpenAI,openai/plugins,higgsfield,narrator,design-creative-media,1,1,0,0,2,0,0,4,165,substantive,none,speech_metrics.sh measures TTS speech length/pauses; SVG icon; openai.yaml metadata,plugins/higgsfield/skills/narrator
S0664,OpenAI,openai/plugins,life-science-research,bgee-skill,science-research,1,1,0,0,1,0,0,3,37,thin,none,Python SPARQL client hardwired to Bgee endpoint and OpenAI agent interface yaml,plugins/life-science-research/skills/bgee-skill
S0677,OpenAI,openai/plugins,life-science-research,encode-skill,science-research,1,1,0,0,1,0,0,3,40,moderate,none,Python ENCODE REST request client script and OpenAI agent interface yaml,plugins/life-science-research/skills/encode-skill
S0680,OpenAI,openai/plugins,life-science-research,eqtl-catalogue-skill,science-research,1,2,0,0,1,0,0,4,41,moderate,none,"Python eQTL Catalogue REST client, its unit tests, and OpenAI agent interface yaml",plugins/life-science-research/skills/eqtl-catalogue-skill
S0681,OpenAI,openai/plugins,life-science-research,eva-skill,science-research,1,1,0,0,1,0,0,3,38,moderate,none,Python EVA REST request client script and OpenAI agent interface yaml,plugins/life-science-research/skills/eva-skill
S0684,OpenAI,openai/plugins,life-science-research,gnomad-graphql-skill,science-research,1,1,0,0,1,0,0,3,39,moderate,none,Python gnomAD GraphQL client script and OpenAI agent interface yaml,plugins/life-science-research/skills/gnomad-graphql-skill
S0686,OpenAI,openai/plugins,life-science-research,gwas-catalog-skill,science-research,1,1,0,0,1,0,0,3,42,moderate,none,Python GWAS Catalog REST request client script and OpenAI agent interface yaml,plugins/life-science-research/skills/gwas-catalog-skill
S0713,OpenAI,openai/plugins,mixpanel-headless,dashboard-expert,data-analytics-bi,5,0,0,0,0,0,0,5,405,substantive,"references/ on Mixpanel dashboard API, bookmark pipeline, chart-type guide, 9 dashboard templates",none,plugins/mixpanel-headless/skills/dashboard-expert
S0723,OpenAI,openai/plugins,ngs-analysis,ngs-bulk-rnaseq-differential-expression,science-research,1,0,0,0,1,0,0,2,75,substantive,none,agents/openai.yaml UI metadata only; DE runner scripts live at plugin level,plugins/ngs-analysis/skills/ngs-bulk-rnaseq-differential-expression
S0724,OpenAI,openai/plugins,ngs-analysis,ngs-chip-cutrun-peaks-qc,science-research,1,0,0,0,1,0,0,2,81,substantive,none,"agents/openai.yaml UI metadata only; pipeline runner scripts live at plugin level, outside skill dir",plugins/ngs-analysis/skills/ngs-chip-cutrun-peaks-qc
S0736,OpenAI,openai/plugins,notion,notion-meeting-intelligence,productivity-communication,13,0,0,2,3,1,0,19,66,moderate,reference/ 6 meeting templates + selection guide; examples/ 4 meeting preps; evaluations README,"Notion icons (svg/png), two eval scenario JSONs, agents/openai.yaml, LICENSE.txt",plugins/notion/skills/notion-meeting-intelligence
S0740,OpenAI,openai/plugins,nvidia,aiq-research,other,3,1,0,1,2,0,0,7,357,moderate,BENCHMARK.md eval report; skill-card.md model-card style metadata/risks,aiq.py stdlib CLI for AI-Q backend jobs; evals.json; openai.yaml; sigstore signature file (skill.oms.sig),plugins/nvidia/skills/aiq-research
S0751,OpenAI,openai/plugins,product-design,audit,design-creative-media,2,0,0,0,1,0,0,3,161,substantive,references/design-audit-framework.md: UX and accessibility audit lenses/modes,agents/openai.yaml UI metadata,plugins/product-design/skills/audit
S0763,OpenAI,openai/plugins,public-equity-investing,comps-valuation,investing-banking-pe,15,3,0,1,1,0,0,20,80,substantive,"references/ peer selection, valuation read-through, staleness, templates; workbook/ spec, QA, memo template","3 Python scripts (create comps template, materialize screening comps, audit workbook); requirements.txt; openai.yaml",plugins/public-equity-investing/skills/comps-valuation
S0771,OpenAI,openai/plugins,public-equity-investing,financials-normalizer,investing-banking-pe,6,3,0,1,2,0,0,12,115,substantive,"references/ on source protocol, normalization schema, line-item taxonomy, QA rules, integration","3 Python scripts (build source index, normalize, validate financials); line-item alias CSV; icon svg; openai.yaml",plugins/public-equity-investing/skills/financials-normalizer
S0776,OpenAI,openai/plugins,public-equity-investing,memo-builder,investing-banking-pe,7,1,0,0,1,0,0,9,155,substantive,"references/ on memo modes, output contracts, quality workflow, sector overlays, source policy, dashboard pack",build_memo_package.py generating DOCX/HTML memo packages; agents/openai.yaml,plugins/public-equity-investing/skills/memo-builder
S0781,OpenAI,openai/plugins,public-equity-investing,thesis-tracker,investing-banking-pe,9,1,0,2,2,0,0,14,135,substantive,"references/ on workflow, thesis schema, intake, sector overlays, output templates, guardrails, dashboard pack",Tracker materializer Python script + requirements.txt; blank thesis-tracker starter CSV; icon svg; openai.yaml,plugins/public-equity-investing/skills/thesis-tracker
S0787,OpenAI,openai/plugins,stripe,stripe-directory,operations-admin,1,0,0,0,0,0,0,1,77,moderate,none,none,plugins/stripe/skills/stripe-directory
S0791,OpenAI,openai/plugins,zotero,Zotero,science-research,2,1,0,0,2,0,0,5,103,moderate,references/local-api-routes.md: Zotero local API endpoint reference,"zotero.py stdlib CLI helper (search, BibTeX export, cite insertion); icon png; openai.yaml",plugins/zotero/skills/zotero
S1482,OpenAI,openai/role-specific-plugins,data-analytics,build-report,data-analytics-bi,4,1,0,0,1,0,0,6,227,substantive,"Audience specs (executive, technical) and MCP app report delivery spec",Python script embedding precompiled Recharts runtime into self-contained HTML report; agent interface yaml,plugins/data-analytics/skills/build-report
S1499,OpenAI,openai/role-specific-plugins,sales,build-competitive-brief,sales-crm,3,0,0,1,1,0,0,5,237,substantive,references/ output contract (section order) and source-priority authority rules,agents/openai.yaml; references/request-schema.yaml structured input schema,plugins/sales/skills/build-competitive-brief
S1512,OpenAI,openai/role-specific-plugins,sales,sales-company-research,sales-crm,1,0,0,0,1,0,0,2,83,moderate,none,agents/openai.yaml UI metadata and invocation policy,plugins/sales/skills/sales-company-research
S0826,OpenAI,openai/skills,.curated,speech,design-creative-media,11,1,0,0,3,1,0,16,145,moderate,"10 references: CLI, audio API, prompting, voice directions, use-case templates, network troubleshooting",text_to_speech.py CLI for OpenAI Audio API; SVG/PNG icons; openai.yaml; LICENSE.txt,skills/.curated/speech
S0827,OpenAI,openai/skills,.curated,transcribe,productivity-communication,2,1,0,0,3,1,0,7,82,moderate,"references/api.md: transcription API formats, limits, known-speaker notes",transcribe_diarize.py CLI using OpenAI API; icons (svg/png); openai.yaml; LICENSE.txt,skills/.curated/transcribe
S0831,OpenAI,openai/skills,.system,imagegen,design-creative-media,6,1,0,0,3,1,0,11,280,substantive,"references/ prompting principles, sample prompts, CLI usage, image API params, network setup",image_gen.py fallback CLI (generate/edit/batch); icons (svg/png); openai.yaml; LICENSE.txt,skills/.system/imagegen
S1003,Other vendors,HubSpot/agent-cli-skills,crm-data-quality,crm-data-quality,sales-crm,1,0,0,0,0,0,0,1,101,substantive,none,none,crm-data-quality
S1010,Other vendors,HubSpot/agent-cli-skills,sales-execution,sales-execution,sales-crm,2,0,0,0,0,0,0,2,122,substantive,HubSpot activity property names and enum values reference,none,sales-execution
S1013,Other vendors,HubSpot/agent-cli-skills,ticket-resolution,ticket-resolution,customer-support,1,0,0,0,0,0,0,1,119,substantive,none,none,ticket-resolution
S1022,Other vendors,HubSpot/hubspot-mcp-plugins,HubSpot-Sales,log-call,sales-crm,1,0,0,0,0,0,0,1,170,substantive,none,none,HubSpot-Sales/skills/log-call
S1398,Other vendors,anthropics/claude-plugins-community,tres-finance-plugin,tres-asc845-swap-reprice-skill,finance-accounting,1,2,0,0,0,0,0,3,223,substantive,none,2 Python scripts: orchestrator and ASC 845 repricing engine that produce plan and mutation JSON,tres-finance-plugin/skills/tres-asc845-swap-reprice-skill
S1400,Other vendors,anthropics/claude-plugins-community,tres-finance-plugin,tres-cost-basis,finance-accounting,1,0,0,0,0,0,0,1,942,substantive,none,none,tres-finance-plugin/skills/tres-cost-basis
S1415,Other vendors,anthropics/claude-plugins-community,tres-finance-plugin,tres-rollup-rules,finance-accounting,1,1,0,0,0,0,0,2,510,substantive,none,HTML/CSS template for rollup-rule proposal report with row patterns,tres-finance-plugin/skills/tres-rollup-rules
S1419,Other vendors,anthropics/claude-plugins-community,tres-finance-plugin,tres-wallets-upload,finance-accounting,1,0,0,0,0,0,0,1,464,substantive,none,none,tres-finance-plugin/skills/tres-wallets-upload
S1436,Other vendors,atlassian/atlassian-mcp-server,skills,jira-sprint-dashboard,product-management,1,0,0,0,0,0,0,1,369,substantive,none,none,skills/jira-sprint-dashboard
S1448,Other vendors,box/skills,skills,box-legal-workflows-contract,legal-compliance,1,0,0,0,0,0,0,1,72,moderate,none,none,skills/box-legal-workflows-contract
S1463,Other vendors,intuit/quickbooks-claude-plugin,skills,chase-overdue-invoices,finance-accounting,1,0,0,0,0,0,0,1,283,substantive,none,none,skills/chase-overdue-invoices
S1467,Other vendors,intuit/quickbooks-claude-plugin,skills,payroll-employee-onboarding,hr-people,1,0,0,0,0,0,0,1,228,substantive,none,none,skills/payroll-employee-onboarding
S1480,Other vendors,makenotion/claude-code-notion-plugin,notion,notion-spec-to-implementation,product-management,13,0,0,2,0,0,0,15,218,substantive,"reference/ plan, task, progress templates and spec parsing; 3 worked examples; evals README",two JSON evaluation scenarios for spec-to-tasks behavior,skills/notion/spec-to-implementation
S1586,Other vendors,zapier/gtm-cheat-codes,customer-advocacy,find-customer-social-proof,marketing-content,5,0,0,1,0,0,0,6,48,thin,"README, Zapier MCP/SDK SETUP guide, SCHEMA-MAP field definitions, ONBOARDING-PROMPT","metadata.yaml catalog metadata (function, target user, MCP/SDK roles)",skills/customer-advocacy/find-customer-social-proof
S1601,Other vendors,zapier/gtm-cheat-codes,sales-revops,customer-deck-builder,sales-crm,5,0,0,1,0,0,0,6,163,substantive,"README overview, SETUP connection steps, SCHEMA-MAP field mapping, onboarding prompt","metadata.yaml describing GTM function, Zapier MCP/SDK roles and dependencies",skills/sales-revops/customer-deck-builder
